"subj","item","condition","sentence","rt","Verb","Experiment","Attractor","Grammaticality","Accuracy"
"28",36,4,"The courier with the messages usually are",1114.35484886,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"28",27,3,"The worker at the factory never are",847.609996796,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"28",11,3,"The warning from the expert never were",1031.08811378,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"28",43,3,"The office with the computer still have",1015.27714729,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"28",23,3,"The pamphlet from the agency foolishly are",1448.8120079,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"28",47,3,"The dream about the castle frequently have",747.189998627,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"28",55,3,"The advertisement for the club always have",1148.1051445,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"28",4,4,"The picture on the postcards frequently were",1031.81099892,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"28",35,3,"The assistant in the lab rarely are",564.40114975,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"28",59,3,"The friend of the nurse frequently have",1097.83697128,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"28",7,3,"The typo in the book always were",1031.14390373,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"28",21,1,"The record from the singer frequently is",1432.66701698,"Auxiliary","Experiment 1","Singular","Grammatical",1
"28",60,4,"The museum with the sculptures always have",1065.7119751,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"28",18,2,"The paint on the fences often was",831.36510849,"Auxiliary","Experiment 1","Plural","Grammatical",1
"28",3,3,"The wall with the advertisement often were",897.917032242,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"28",57,1,"The contract for the actor rarely has",615.224123001,"Auxiliary","Experiment 1","Singular","Grammatical",1
"28",15,3,"The apartment with the leak allegedly was",698.570966721,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"28",58,2,"The bill from the accountants always has",732.446908951,"Auxiliary","Experiment 1","Plural","Grammatical",1
"28",46,2,"The assistant to the politicians sometimes has ",1482.29217529,"Auxiliary","Experiment 1","Plural","Grammatical",1
"28",42,2,"The applicant for the awards supposedly has",615.607023239,"Auxiliary","Experiment 1","Plural","Grammatical",1
"28",22,2,"The manager of the archives probably is",831.557035446,"Auxiliary","Experiment 1","Plural","Grammatical",1
"28",9,1,"The memo from the accountant usually was",846.163034439,"Auxiliary","Experiment 1","Singular","Grammatical",1
"28",30,2,"The memo for the executives suddenly is",881.29401207,"Auxiliary","Experiment 1","Plural","Grammatical",1
"28",50,2,"The announcement about the games never has",1515.58184624,"Auxiliary","Experiment 1","Plural","Grammatical",1
"28",12,4,"The check from the stockbrokers always were",1214.62893486,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"28",38,2,"The picture of the politicians apparently is",530.719995499,"Auxiliary","Experiment 1","Plural","Grammatical",1
"28",51,3,"The proposal about the park supposedly have",881.076097488,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"28",54,2,"The envelope for the applications always has",564.645051956,"Auxiliary","Experiment 1","Plural","Grammatical",1
"28",44,4,"The demonstrator at the rallies repeatedly have",581.454992294,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"28",8,4,"The neighborhood with the museums always were",596.642971039,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"28",33,1,"The actor in the film sometimes is",1031.67891502,"Auxiliary","Experiment 1","Singular","Grammatical",0
"28",41,1,"The editor of the book hardly has",898.255109787,"Auxiliary","Experiment 1","Singular","Grammatical",1
"28",40,4,"The teacher with the certificates frequently are",730.852127075,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"29",51,4,"The proposal about the parks supposedly have",1181.26797676,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"29",14,3,"The entrance to the laboratory unexpectedly were",965.600967407,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"29",8,1,"The neighborhood with the museum always was",1113.71803284,"Auxiliary","Experiment 1","Singular","Grammatical",0
"29",45,2,"The volunteer in the villages frequently has",964.480876923,"Auxiliary","Experiment 1","Plural","Grammatical",1
"29",13,2,"The door to the offices unfortunately was",698.43006134,"Auxiliary","Experiment 1","Plural","Grammatical",1
"29",50,3,"The announcement about the game never have",1714.95389938,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"29",42,3,"The applicant for the award supposedly have",1648.23508263,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"29",41,2,"The editor of the books hardly has",913.477897644,"Auxiliary","Experiment 1","Plural","Grammatical",1
"29",53,2,"The paper from the students clearly has",697.196006775,"Auxiliary","Experiment 1","Plural","Grammatical",1
"29",11,4,"The warning from the experts never were",1264.77313042,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"29",2,3,"The label on the bottle usually were",2165.77005386,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"29",10,3,"The letter from the lawyer supposedly were",1148.92792702,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"29",58,3,"The bill from the accountant always have",1231.09388351,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"29",32,1,"The office of the accountant apparently is",830.821990967,"Auxiliary","Experiment 1","Singular","Grammatical",1
"29",7,4,"The typo in the books always were",1097.46003151,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"29",57,2,"The contract for the actors rarely has",782.178163528,"Auxiliary","Experiment 1","Plural","Grammatical",1
