"","V1","V2","Attractor","Grammaticality","Experiment"
"113",-3.88,8.0459531951e-09,"Match","Grammatical","Experiment 1"
"114",-3.87,8.43105965584e-09,"Match","Grammatical","Experiment 1"
"115",-3.86,8.83462175898e-09,"Match","Grammatical","Experiment 1"
"116",-3.85,9.25756071487e-09,"Match","Grammatical","Experiment 1"
"117",-3.84,9.70064463461e-09,"Match","Grammatical","Experiment 1"
"118",-3.83,1.016502682281e-08,"Match","Grammatical","Experiment 1"
"119",-3.82,1.065160723659e-08,"Match","Grammatical","Experiment 1"
"120",-3.81,1.116141892869e-08,"Match","Grammatical","Experiment 1"
"121",-3.8,1.169576289733e-08,"Match","Grammatical","Experiment 1"
"122",-3.79,1.225556927227e-08,"Match","Grammatical","Experiment 1"
"123",-3.78,1.284218400828e-08,"Match","Grammatical","Experiment 1"
"124",-3.77,1.345698522018e-08,"Match","Grammatical","Experiment 1"
"125",-3.76,1.410106365353e-08,"Match","Grammatical","Experiment 1"
"126",-3.75,1.47760826668e-08,"Match","Grammatical","Experiment 1"
"127",-3.74,1.548340388961e-08,"Match","Grammatical","Experiment 1"
"128",-3.73,1.622447198554e-08,"Match","Grammatical","Experiment 1"
"129",-3.72,1.700119952042e-08,"Match","Grammatical","Experiment 1"
"130",-3.71,1.781495860806e-08,"Match","Grammatical","Experiment 1"
"131",-3.7,1.866765941047e-08,"Match","Grammatical","Experiment 1"
"132",-3.69,1.956135572616e-08,"Match","Grammatical","Experiment 1"
"133",-3.68,2.049760726137e-08,"Match","Grammatical","Experiment 1"
"134",-3.67,2.147880195006e-08,"Match","Grammatical","Experiment 1"
"135",-3.66,2.250700588938e-08,"Match","Grammatical","Experiment 1"
"136",-3.65,2.35842335603e-08,"Match","Grammatical","Experiment 1"
"137",-3.64,2.471328766443e-08,"Match","Grammatical","Experiment 1"
"138",-3.63,2.589620618092e-08,"Match","Grammatical","Experiment 1"
"139",-3.62,2.713569175281e-08,"Match","Grammatical","Experiment 1"
"140",-3.61,2.84347943567e-08,"Match","Grammatical","Experiment 1"
"141",-3.6,2.979576054413e-08,"Match","Grammatical","Experiment 1"
"142",-3.59,3.122200914535e-08,"Match","Grammatical","Experiment 1"
"143",-3.58,3.271666191294e-08,"Match","Grammatical","Experiment 1"
"144",-3.57,3.428253995062e-08,"Match","Grammatical","Experiment 1"
"145",-3.56,3.592373075834e-08,"Match","Grammatical","Experiment 1"
"146",-3.55,3.764328058475e-08,"Match","Grammatical","Experiment 1"
"147",-3.54,3.944500087699e-08,"Match","Grammatical","Experiment 1"
"148",-3.53,4.133340603621e-08,"Match","Grammatical","Experiment 1"
"149",-3.52,4.331175602401e-08,"Match","Grammatical","Experiment 1"
"150",-3.51,4.538493314183e-08,"Match","Grammatical","Experiment 1"
"151",-3.5,4.755763215022e-08,"Match","Grammatical","Experiment 1"
"152",-3.49,4.983382682239e-08,"Match","Grammatical","Experiment 1"
"153",-3.48,5.221944905204e-08,"Match","Grammatical","Experiment 1"
"154",-3.47,5.471907857201e-08,"Match","Grammatical","Experiment 1"
"155",-3.46,5.733807160258e-08,"Match","Grammatical","Experiment 1"
"156",-3.45,6.008308929651e-08,"Match","Grammatical","Experiment 1"
"157",-3.44,6.295889737342e-08,"Match","Grammatical","Experiment 1"
"158",-3.43,6.597244946324e-08,"Match","Grammatical","Experiment 1"
"159",-3.42,6.913077604481e-08,"Match","Grammatical","Experiment 1"
"160",-3.41,7.243951037607e-08,"Match","Grammatical","Experiment 1"
"161",-3.4,7.590721861314e-08,"Match","Grammatical","Experiment 1"
"162",-3.39,7.95408214785e-08,"Match","Grammatical","Experiment 1"
"163",-3.38,8.334781714195e-08,"Match","Grammatical","Experiment 1"
"164",-3.37,8.7338005229e-08,"Match","Grammatical","Experiment 1"
"165",-3.36,9.15184033796e-08,"Match","Grammatical","Experiment 1"
"166",-3.35,9.589888746306e-08,"Match","Grammatical","Experiment 1"
"167",-3.34,1.0048994486843e-07,"Match","Grammatical","Experiment 1"
"168",-3.33,1.0529961626646e-07,"Match","Grammatical","Experiment 1"
"169",-3.32,1.1034021166056e-07,"Match","Grammatical","Experiment 1"
"170",-3.31,1.1562223205356e-07,"Match","Grammatical","Experiment 1"
"171",-3.3,1.2115613419021e-07,"Match","Grammatical","Experiment 1"
"172",-3.29,1.2695629240147e-07,"Match","Grammatical","Experiment 1"
"173",-3.28,1.3303311215232e-07,"Match","Grammatical","Experiment 1"
